YEAR,MO,DY,HR,PRECTOTCORR,RH2M,PS,WS2M,T2M
2010,1,1,0,0,69.69,100.02,1.79,16.53
2010,1,1,1,0,68.5,99.96,2.08,16.01
2010,1,1,2,0,67.56,99.93,2.54,15.69
2010,1,1,3,0,67.38,99.93,3.04,15.49
2010,1,1,4,0,67.94,99.96,3.58,15.4
2010,1,1,5,0,70,100.03,3.96,15.31
2010,1,1,6,0,73.31,100.11,4.15,15.15
2010,1,1,7,0,71.06,100.19,4.82,16.47
2010,1,1,8,0,65.12,100.26,4.41,19.22
2010,1,1,9,0,58.56,100.27,3.58,22.98
2010,1,1,10,0,43.75,100.23,3.03,27.33
2010,1,1,11,0,40.5,100.12,2.2,30.08
2010,1,1,12,0,42.94,100,1.96,30.87
2010,1,1,13,0,44.44,99.91,1.88,31.09
2010,1,1,14,0,46.31,99.86,1.83,30.84
2010,1,1,15,0,48.88,99.86,1.72,30.1
2010,1,1,16,0,55.81,99.9,1.39,28.69
2010,1,1,17,0,73.25,99.97,1.11,25.23
2010,1,1,18,0,77.06,100.05,1.25,23.37
2010,1,1,19,0,79.12,100.13,1.23,22.53
2010,1,1,20,0,80.12,100.18,1.2,21.97
2010,1,1,21,0,81.06,100.2,1.25,21.41
2010,1,1,22,0,82.38,100.18,1.35,20.9
2010,1,1,23,0,83.25,100.14,1.48,20.56
2010,1,2,0,0,83.62,100.12,1.63,20.33
2010,1,2,1,0,82.94,100.07,1.8,20.33
2010,1,2,2,0,81.69,100.04,1.99,20.33
2010,1,2,3,0,79.81,100.01,2.33,20.19
2010,1,2,4,0,77,100.04,2.93,19.91
2010,1,2,5,0,74.19,100.1,3.59,19.46
2010,1,2,6,0,72.31,100.19,4.05,18.9
2010,1,2,7,0,68.81,100.29,4.62,19.25
2010,1,2,8,0,62.56,100.37,4.47,21.19
2010,1,2,9,0.01,53,100.4,4.31,24.46
2010,1,2,10,0.02,42.62,100.35,4.23,27.65
2010,1,2,11,0.04,38.25,100.27,3.61,29.77
2010,1,2,12,0.05,37.38,100.17,2.92,30.92
2010,1,2,13,0.05,38,100.09,2.44,31.37
2010,1,2,14,0.03,39.75,100.05,2.09,31.15
2010,1,2,15,0.02,43.69,100.06,1.66,30.41
2010,1,2,16,0.01,50.12,100.1,1.32,28.99
2010,1,2,17,0,70.56,100.19,1.09,25.41
2010,1,2,18,0,73.81,100.28,1.26,23.81
2010,1,2,19,0,77.88,100.37,1.24,23
2010,1,2,20,0,81.06,100.43,1.2,22.45
2010,1,2,21,0,83.44,100.44,1.24,22.22
2010,1,2,22,0,85,100.41,1.39,21.94
2010,1,2,23,0,85.69,100.36,1.56,21.61
2010,1,3,0,0,85.81,100.32,1.67,21.27
2010,1,3,1,0,85.25,100.28,1.69,20.96
2010,1,3,2,0,84.75,100.26,1.66,20.56
2010,1,3,3,0,84.25,100.25,1.66,20.16
2010,1,3,4,0,83.56,100.28,1.73,19.8
2010,1,3,5,0,82.75,100.34,1.81,19.34
2010,1,3,6,0,80.88,100.4,1.93,19.01
2010,1,3,7,0,71.62,100.46,2.61,20.44
2010,1,3,8,0,60.38,100.51,3.21,22.33
2010,1,3,9,0,49.81,100.51,2.57,25.2
2010,1,3,10,0,39,100.47,1.79,28.5
2010,1,3,11,0,36.81,100.38,0.94,30.24
2010,1,3,12,0,36.12,100.26,0.44,31.08
2010,1,3,13,0,37.12,100.15,0.85,31.4
2010,1,3,14,0,39.75,100.09,1.53,31.07
2010,1,3,15,0,45.38,100.08,2.09,30.08
2010,1,3,16,0,56.94,100.11,2.36,28.13
2010,1,3,17,0,71.44,100.18,2.3,25.15
2010,1,3,18,0,76.19,100.26,2.68,23.94
2010,1,3,19,0,78.56,100.35,2.72,23.35
2010,1,3,20,0,79.81,100.4,2.58,22.83
2010,1,3,21,0,79.62,100.42,2.51,22.46
2010,1,3,22,0,79.56,100.4,2.41,22.08
2010,1,3,23,0,80.19,100.36,2.29,21.7
2010,1,4,0,0,81.31,100.32,2.14,21.26
2010,1,4,1,0,81.94,100.26,2.17,20.87
2010,1,4,2,0,82.62,100.22,2.15,20.47
