YEAR,MO,DY,HR,PRECTOTCORR,RH2M,PS,WS2M,T2M
2010,1,1,0,0,83.06,94.54,1.17,8.24
2010,1,1,1,0,85.31,94.51,1.19,7.57
2010,1,1,2,0,87.12,94.48,1.22,6.94
2010,1,1,3,0,88.19,94.47,1.24,6.4
2010,1,1,4,0,88.56,94.48,1.26,5.94
2010,1,1,5,0,88.56,94.54,1.26,5.55
2010,1,1,6,0,88.19,94.63,1.28,5.23
2010,1,1,7,0,82.38,94.72,1.24,6.37
2010,1,1,8,0,61.38,94.81,2.25,11.08
2010,1,1,9,0,43.81,94.88,2.72,14.68
2010,1,1,10,0,29.81,94.87,3.19,17.82
2010,1,1,11,0,24.88,94.8,3.3,19.74
2010,1,1,12,0,22.88,94.68,3.39,20.84
2010,1,1,13,0,22.19,94.57,3.47,21.29
2010,1,1,14,0,22.44,94.51,3.53,21.12
2010,1,1,15,0,23.88,94.51,3.47,20.27
2010,1,1,16,0,32.69,94.54,2.43,18.14
2010,1,1,17,0,53.5,94.6,1.43,13.05
2010,1,1,18,0,58.75,94.69,1.44,10.81
2010,1,1,19,0,61.5,94.76,1.4,9.8
2010,1,1,20,0,64,94.81,1.34,8.95
2010,1,1,21,0,65.75,94.83,1.31,8.29
2010,1,1,22,0,67.12,94.81,1.29,7.73
2010,1,1,23,0,68.25,94.77,1.28,7.26
2010,1,2,0,0,69,94.72,1.25,6.87
2010,1,2,1,0,69.06,94.68,1.22,6.57
2010,1,2,2,0,69.31,94.65,1.22,6.24
2010,1,2,3,0,69.88,94.64,1.23,5.85
2010,1,2,4,0,70.62,94.65,1.23,5.4
2010,1,2,5,0,70.75,94.68,1.25,5.12
2010,1,2,6,0,70.75,94.75,1.27,4.89
2010,1,2,7,0,70.38,94.83,1.19,5.69
2010,1,2,8,0,56.06,94.91,1.67,10.25
2010,1,2,9,0,41.25,94.98,2.05,13.76
2010,1,2,10,0,32.06,94.97,2.41,16.9
2010,1,2,11,0,27.62,94.91,2.17,18.93
2010,1,2,12,0,24.31,94.81,1.96,20.62
2010,1,2,13,0,22.94,94.69,1.98,21.46
2010,1,2,14,0,22.81,94.63,2.2,21.61
2010,1,2,15,0,24.38,94.62,2.46,20.87
2010,1,2,16,0,37.75,94.65,1.67,18.48
2010,1,2,17,0,56.25,94.71,1.35,13.28
2010,1,2,18,0,59.94,94.8,1.46,10.99
2010,1,2,19,0,62.81,94.89,1.41,9.86
2010,1,2,20,0,64.56,94.93,1.3,9.05
2010,1,2,21,0,63.19,94.94,1.23,8.81
2010,1,2,22,0,60.12,94.92,1.14,8.93
2010,1,2,23,0,57.88,94.87,1.04,8.98
2010,1,3,0,0,58.75,94.81,1,8.47
2010,1,3,1,0,60,94.78,1.08,7.94
2010,1,3,2,0,62.69,94.74,1.2,7.19
2010,1,3,3,0,66.31,94.71,1.26,6.36
2010,1,3,4,0,69.19,94.71,1.28,5.74
2010,1,3,5,0,71,94.73,1.29,5.34
2010,1,3,6,0,72.12,94.76,1.3,5.04
2010,1,3,7,0,72.12,94.79,1.24,5.69
2010,1,3,8,0,58.88,94.82,1.68,10.15
2010,1,3,9,0,43.62,94.86,2.02,13.76
2010,1,3,10,0,32.56,94.85,2.03,17.48
2010,1,3,11,0,27.56,94.78,1.87,19.73
2010,1,3,12,0,23.44,94.66,1.85,21.62
2010,1,3,13,0,21.81,94.55,2.03,22.48
2010,1,3,14,0,21.5,94.47,2.21,22.59
2010,1,3,15,0,22.69,94.44,2.21,21.93
2010,1,3,16,0,37.56,94.43,1.24,19.69
2010,1,3,17,0,53.06,94.48,1.15,15.12
2010,1,3,18,0,52.06,94.55,1.28,13.39
2010,1,3,19,0,51.94,94.62,1.24,12.65
2010,1,3,20,0,51.62,94.68,1.18,12
2010,1,3,21,0,52.38,94.7,1.19,11.24
2010,1,3,22,0,54.94,94.69,1.25,10.21
2010,1,3,23,0,58.81,94.65,1.32,9.01
2010,1,4,0,0,61.25,94.61,1.4,8.15
2010,1,4,1,0,62.56,94.57,1.51,7.7
2010,1,4,2,0,63.88,94.54,1.64,7.45
2010,1,4,3,0,65.75,94.49,1.71,7.23
2010,1,4,4,0,67.69,94.46,1.74,6.96
2010,1,4,5,0,68.69,94.48,1.78,6.77
2010,1,4,6,0,68.56,94.53,1.87,6.75
2010,1,4,7,0,63.38,94.57,2.28,8.13
2010,1,4,8,0,47.75,94.62,3.62,12.15
2010,1,4,9,0,36.5,94.67,4,15.69
2010,1,4,10,0,26.31,94.65,4.54,18.86
2010,1,4,11,0,26.69,94.57,4.77,20.95
2010,1,4,12,0,31.88,94.44,4.76,22.16
2010,1,4,13,0,35.88,94.32,4.64,22.59
2010,1,4,14,0,39.19,94.23,4.5,22.42
2010,1,4,15,0,42.62,94.18,4.27,21.7
2010,1,4,16,0,48.56,94.19,3.44,20.19
2010,1,4,17,0,66.94,94.23,1.62,16.07
2010,1,4,18,0,74.19,94.32,1.54,13.94
2010,1,4,19,0,75.88,94.4,1.64,13.14
2010,1,4,20,0,77.25,94.44,1.76,12.45
2010,1,4,21,0,79.12,94.47,1.84,11.79
2010,1,4,22,0,81.5,94.46,1.89,11.11
2010,1,4,23,0,84.19,94.43,1.9,10.41
2010,1,5,0,0,87.25,94.4,1.85,9.68
2010,1,5,1,0,89.56,94.37,1.84,8.98
2010,1,5,2,0,90.56,94.34,1.87,8.36
2010,1,5,3,0,90.38,94.32,1.85,7.73
2010,1,5,4,0,89.94,94.31,1.78,7.14
2010,1,5,5,0,89.88,94.33,1.69,6.65
