YEAR,MO,DY,HR,PRECTOTCORR,RH2M,PS,WS2M,T2M
2010,1,1,0,0,25.44,74.31,1.18,-1.77
2010,1,1,1,0,24.25,74.31,1.3,-1.81
2010,1,1,2,0,25,74.29,1.41,-2.4
2010,1,1,3,0,25.44,74.25,1.46,-3
2010,1,1,4,0,25.44,74.23,1.51,-3.65
2010,1,1,5,0,26.38,74.24,1.58,-4.38
2010,1,1,6,0,28.31,74.27,1.64,-5.11
2010,1,1,7,0,31.19,74.31,1.6,-4.95
2010,1,1,8,0,33.25,74.36,1.5,-0.87
2010,1,1,9,0,14.88,74.41,2.59,3.3
2010,1,1,10,0,12,74.43,1.53,6.79
2010,1,1,11,0,10.38,74.39,0.96,8.86
2010,1,1,12,0,10.56,74.35,1.54,9.49
2010,1,1,13,0,11,74.33,1.86,9.48
2010,1,1,14,0,11.75,74.33,1.73,8.94
2010,1,1,15,0,23.25,74.33,0.98,7.33
2010,1,1,16,0,25.69,74.34,0.78,4.63
2010,1,1,17,0,20,74.38,0.53,3.57
2010,1,1,18,0,19.75,74.44,0.04,3.3
2010,1,1,19,0,22.25,74.47,0.57,2.46
2010,1,1,20,0,23.06,74.49,1,1.28
2010,1,1,21,0,25.88,74.5,1.2,-0.1
2010,1,1,22,0,26.69,74.5,1.37,-0.84
2010,1,1,23,0,28.25,74.49,1.47,-1.63
2010,1,2,0,0,30.25,74.47,1.53,-2.44
2010,1,2,1,0,31.31,74.45,1.58,-3.23
2010,1,2,2,0,33.31,74.42,1.63,-4.05
2010,1,2,3,0,34.56,74.38,1.67,-4.67
2010,1,2,4,0,34.5,74.36,1.7,-5.1
2010,1,2,5,0,33.88,74.37,1.72,-5.42
2010,1,2,6,0,33,74.39,1.72,-5.56
2010,1,2,7,0,33.75,74.42,1.61,-4.73
2010,1,2,8,0,37,74.45,1.25,-0.05
2010,1,2,9,0,16.69,74.49,2.16,4.75
2010,1,2,10,0,12.5,74.49,1.88,7.76
2010,1,2,11,0,11.38,74.46,2.44,9.43
2010,1,2,12,0,11.31,74.42,2.8,9.95
2010,1,2,13,0,11.69,74.39,2.84,9.85
2010,1,2,14,0,12.62,74.39,2.55,9.14
2010,1,2,15,0,24.94,74.4,1.43,7.27
2010,1,2,16,0,29.81,74.42,0.84,4.17
2010,1,2,17,0,23,74.45,0.74,3.2
2010,1,2,18,0,24.44,74.5,0.76,2.56
2010,1,2,19,0,25.12,74.53,0.94,1.73
2010,1,2,20,0,25.38,74.55,1.07,0.76
2010,1,2,21,0,26,74.55,1.12,-0.07
2010,1,2,22,0,25.69,74.54,1.16,-0.55
2010,1,2,23,0,24.75,74.51,1.16,-0.84
2010,1,3,0,0,24.75,74.46,1.12,-0.94
2010,1,3,1,0,25.38,74.43,1.13,-0.61
2010,1,3,2,0,25.75,74.38,1.11,-0.55
2010,1,3,3,0,27.31,74.33,1.07,-0.63
2010,1,3,4,0,27.75,74.3,1.06,-0.49
2010,1,3,5,0,28.44,74.31,1.09,-0.53
2010,1,3,6,0.01,32.56,74.34,1.15,-0.93
2010,1,3,7,0.02,38.06,74.38,1.15,-0.97
2010,1,3,8,0.11,43.88,74.43,1.13,0.09
2010,1,3,9,0.22,47.25,74.48,2.04,1.27
2010,1,3,10,0.36,43.88,74.48,3.03,1.68
2010,1,3,11,0.55,47.44,74.43,3.42,1.56
2010,1,3,12,0.54,51.75,74.36,3.3,1.3
2010,1,3,13,0.46,55.5,74.31,3.05,1.08
2010,1,3,14,0.32,62.44,74.26,2.43,0.71
2010,1,3,15,0.27,72,74.21,1.8,-0.1
2010,1,3,16,0.22,72.62,74.18,1.27,-0.77
2010,1,3,17,0.15,73.75,74.17,0.82,-1.17
2010,1,3,18,0.09,74.31,74.19,0.65,-1.2
2010,1,3,19,0.07,75.25,74.22,0.52,-1.3
2010,1,3,20,0.1,76.56,74.24,0.46,-1.63
2010,1,3,21,0.15,78.69,74.27,0.34,-1.99
2010,1,3,22,0.15,80.38,74.29,0.19,-2.25
2010,1,3,23,0.1,81.44,74.3,0.18,-2.45
2010,1,4,0,0.05,83.19,74.29,0.38,-2.87
2010,1,4,1,0.02,85.38,74.28,0.52,-3.47
2010,1,4,2,0.01,87.06,74.26,0.61,-4.07
2010,1,4,3,0,87.25,74.23,0.65,-4.57
2010,1,4,4,0,86.5,74.22,0.74,-5.09
2010,1,4,5,0,84.5,74.24,0.88,-5.61
2010,1,4,6,0,82.31,74.28,1.05,-6.33
2010,1,4,7,0,75.38,74.32,1.16,-6.16
2010,1,4,8,0,57.12,74.38,1.96,-2.38
2010,1,4,9,0,45.81,74.43,2.02,1.05
2010,1,4,10,0,32.06,74.45,0.88,5.28
2010,1,4,11,0,25.06,74.42,0.54,7.3
2010,1,4,12,0,23.31,74.35,1.64,8.24
2010,1,4,13,0,23.31,74.31,2.15,8.43
2010,1,4,14,0,24.44,74.29,2.23,8.04
2010,1,4,15,0,31.62,74.28,1.63,6.71
2010,1,4,16,0,43.31,74.29,0.98,3.52
2010,1,4,17,0,36.94,74.31,0.83,2.29
2010,1,4,18,0,37.56,74.35,0.77,1.76
2010,1,4,19,0,39.62,74.37,1.04,0.58
2010,1,4,20,0,40.06,74.37,1.23,-0.17
2010,1,4,21,0,40,74.36,1.33,-0.72
2010,1,4,22,0,39.19,74.33,1.4,-1.18
2010,1,4,23,0,37.31,74.28,1.45,-1.48
2010,1,5,0,0,35.56,74.24,1.49,-1.74
2010,1,5,1,0,34.12,74.21,1.53,-2.04
2010,1,5,2,0,32.94,74.19,1.59,-2.48
2010,1,5,3,0,31.69,74.15,1.61,-2.74
2010,1,5,4,0,30.12,74.14,1.61,-2.74
2010,1,5,5,0,26.25,74.15,1.55,-2.15
2010,1,5,6,0,23.5,74.17,1.49,-1.63
2010,1,5,7,0,22.38,74.19,1.35,-0.51
2010,1,5,8,0,33,74.23,0.93,2.51
2010,1,5,9,0,21.06,74.27,1.13,6
2010,1,5,10,0,15.31,74.29,0.86,8.49
2010,1,5,11,0,14.69,74.27,1.71,9.53
2010,1,5,12,0,14.38,74.22,1.7,9.93
2010,1,5,13,0,14.31,74.18,1.49,9.88
2010,1,5,14,0,14.75,74.18,1.26,9.4
2010,1,5,15,0,22.81,74.19,0.83,8.05
2010,1,5,16,0,25.12,74.21,0.69,5.65
2010,1,5,17,0,22.56,74.25,0.6,4.12
2010,1,5,18,0,24,74.31,0.51,3.38
2010,1,5,19,0,24.88,74.37,0.76,2.45
2010,1,5,20,0,26.75,74.42,1.06,1.1
2010,1,5,21,0,29.88,74.44,1.28,-0.38
2010,1,5,22,0,33.31,74.45,1.43,-1.69
2010,1,5,23,0,36.62,74.43,1.52,-2.89
2010,1,6,0,0,38.94,74.41,1.58,-3.89
2010,1,6,1,0,40.44,74.39,1.63,-4.68
2010,1,6,2,0,40.94,74.37,1.68,-5.29
2010,1,6,3,0,41.25,74.33,1.7,-5.74
2010,1,6,4,0,40.75,74.3,1.72,-6.01
2010,1,6,5,0,40.06,74.31,1.74,-6.16
2010,1,6,6,0,39.38,74.34,1.74,-6.23
2010,1,6,7,0,39.25,74.38,1.66,-5.01
2010,1,6,8,0,33.12,74.42,1.75,0.46
2010,1,6,9,0,19.06,74.45,2.67,4.76
2010,1,6,10,0,14.5,74.46,1.61,8.44
2010,1,6,11,0,11.94,74.42,0.87,10.52
2010,1,6,12,0,11.88,74.37,1.66,11.13
2010,1,6,13,0,11.94,74.34,1.89,11.13
2010,1,6,14,0,12.69,74.33,1.77,10.54
2010,1,6,15,0,23.19,74.33,0.99,8.85
2010,1,6,16,0,24.38,74.33,0.73,6.24
2010,1,6,17,0,19.06,74.36,0.45,5.12
2010,1,6,18,0,19,74.39,0.24,4.56
2010,1,6,19,0,22.19,74.42,0.78,3.38
2010,1,6,20,0,24.62,74.42,1.14,1.82
2010,1,6,21,0,23.81,74.41,1.29,1.36
2010,1,6,22,0,22.06,74.4,1.21,1.28
2010,1,6,23,0,19.19,74.38,1.05,1.68
2010,1,7,0,0,16.62,74.36,0.93,2.21
2010,1,7,1,0,16,74.36,0.89,2.19
2010,1,7,2,0,16.12,74.35,0.9,1.86
2010,1,7,3,0,16.94,74.33,0.96,1.01
2010,1,7,4,0,17.25,74.33,1.11,0.42
2010,1,7,5,0,17.56,74.34,1.28,0.03
2010,1,7,6,0,17.06,74.36,1.38,-0.33
2010,1,7,7,0,18.69,74.39,1.38,-0.06
2010,1,7,8,0,32.31,74.43,1.08,2.3
2010,1,7,9,0,19.62,74.47,1.73,6.25
2010,1,7,10,0,10.88,74.49,2.62,8.39
2010,1,7,11,0,10,74.46,3.15,9.5
2010,1,7,12,0,10,74.4,3.42,9.94
2010,1,7,13,0,10.44,74.37,3.45,9.79
2010,1,7,14,0,11.31,74.35,3.23,9.05
2010,1,7,15,0,19.88,74.34,2.09,7.26
2010,1,7,16,0,30.44,74.34,1.04,3.69
2010,1,7,17,0,26.56,74.37,1.01,1.87
2010,1,7,18,0,26.31,74.4,0.98,1.19
2010,1,7,19,0,24.94,74.42,1.05,0.43
2010,1,7,20,0,25.06,74.42,1.1,-0.32
2010,1,7,21,0,25.56,74.42,1.17,-1.03
2010,1,7,22,0,24.81,74.41,1.26,-1.43
2010,1,7,23,0,25,74.4,1.32,-1.92
2010,1,8,0,0,24.69,74.37,1.33,-2.19
2010,1,8,1,0,24.5,74.35,1.34,-2.52
2010,1,8,2,0,25,74.32,1.37,-2.88
2010,1,8,3,0,25.81,74.29,1.38,-3.14
2010,1,8,4,0,25.62,74.27,1.4,-3.32
2010,1,8,5,0,26.31,74.27,1.43,-3.52
2010,1,8,6,0,25.56,74.29,1.45,-3.66
2010,1,8,7,0,27.19,74.31,1.39,-3.23
2010,1,8,8,0,36.88,74.34,1.08,-0.19
2010,1,8,9,0,16.06,74.38,2.16,3.62
2010,1,8,10,0,13.69,74.39,2.76,5.67
2010,1,8,11,0,13.12,74.34,3.16,6.79
2010,1,8,12,0,13.19,74.28,3.37,7.33
2010,1,8,13,0,13.75,74.24,3.37,7.33
2010,1,8,14,0,14.88,74.22,3.07,6.79
2010,1,8,15,0,19.75,74.21,2.22,5.5
2010,1,8,16,0,33.25,74.22,1,2.55
2010,1,8,17,0,28.25,74.25,0.8,1.12
2010,1,8,18,0,26.06,74.29,0.64,0.83
2010,1,8,19,0,26.44,74.31,0.78,0.15
2010,1,8,20,0,28.56,74.31,0.98,-0.93
2010,1,8,21,0,30.44,74.3,1.12,-1.77
2010,1,8,22,0,31.06,74.29,1.21,-2.22
2010,1,8,23,0,31.06,74.27,1.23,-2.57
2010,1,9,0,0,31.25,74.24,1.25,-2.83
2010,1,9,1,0,31.38,74.22,1.26,-3.07
2010,1,9,2,0,32,74.2,1.28,-3.31
2010,1,9,3,0,31.69,74.17,1.24,-3.34
2010,1,9,4,0,31.12,74.17,1.2,-3.3
2010,1,9,5,0,30.69,74.19,1.21,-3.38
2010,1,9,6,0,30.94,74.24,1.22,-3.46
2010,1,9,7,0,31.94,74.27,1.14,-2.88
2010,1,9,8,0,37.94,74.3,1,-0.24
2010,1,9,9,0,22.94,74.34,1.84,2.98
2010,1,9,10,0,21.44,74.36,2.76,4.74
2010,1,9,11,0,20.44,74.32,3.15,5.7
2010,1,9,12,0,20.31,74.24,3.35,6.2
2010,1,9,13,0,20.62,74.18,3.31,6.27
2010,1,9,14,0,21.38,74.15,3.1,5.87
2010,1,9,15,0,25,74.15,2.47,4.79
2010,1,9,16,0,37.31,74.16,1.16,2.02
2010,1,9,17,0,35.56,74.2,0.84,0.33
2010,1,9,18,0,34.56,74.25,0.81,-0.03
2010,1,9,19,0,35.12,74.3,0.84,-0.6
2010,1,9,20,0,36.81,74.34,0.89,-1.32
2010,1,9,21,0,38,74.36,0.95,-1.98
2010,1,9,22,0,38.25,74.35,1.04,-2.35
2010,1,9,23,0,37.75,74.33,1.05,-2.56
2010,1,10,0,0,37.5,74.31,1.03,-2.77
2010,1,10,1,0,37.56,74.3,1.04,-3
2010,1,10,2,0,37.75,74.28,1.09,-3.24
2010,1,10,3,0,37.62,74.25,1.12,-3.4
2010,1,10,4,0,37,74.24,1.15,-3.56
2010,1,10,5,0,36.19,74.25,1.18,-3.73
2010,1,10,6,0,35.19,74.29,1.18,-3.85
2010,1,10,7,0,35.62,74.32,1.13,-3.38
2010,1,10,8,0,38.31,74.36,1,-0.67
2010,1,10,9,0,22.44,74.41,1.64,2.62
2010,1,10,10,0,18.62,74.43,2.49,4.54
2010,1,10,11,0,17.06,74.38,2.77,5.59
2010,1,10,12,0,16.38,74.32,2.87,6.2
2010,1,10,13,0,16.19,74.28,2.86,6.37
2010,1,10,14,0,16.62,74.26,2.7,5.98
2010,1,10,15,0,20.12,74.26,2.13,4.84
2010,1,10,16,0,32.88,74.27,1.06,2.01
2010,1,10,17,0,29.69,74.3,0.9,0.12
2010,1,10,18,0,28.31,74.35,0.86,-0.24
2010,1,10,19,0,27.5,74.39,0.86,-0.67
2010,1,10,20,0,28.25,74.42,0.95,-1.27
2010,1,10,21,0,30.19,74.43,1.06,-2.27
2010,1,10,22,0,30.56,74.44,1.22,-2.85
2010,1,10,23,0,32.56,74.42,1.33,-3.56
2010,1,11,0,0,33.31,74.41,1.39,-4.1
2010,1,11,1,0,33.62,74.4,1.44,-4.46
2010,1,11,2,0,32.62,74.38,1.47,-4.66
2010,1,11,3,0,31.56,74.36,1.48,-4.87
2010,1,11,4,0,31.38,74.34,1.49,-5.2
2010,1,11,5,0,30.56,74.34,1.52,-5.48
2010,1,11,6,0,31.19,74.36,1.54,-5.67
2010,1,11,7,0,33.94,74.39,1.45,-5.06
2010,1,11,8,0,34.56,74.43,1.38,-1.24
2010,1,11,9,0,17.5,74.48,2.14,2.72
2010,1,11,10,0,15.06,74.5,2.93,5.38
2010,1,11,11,0,14,74.45,3.35,6.58
2010,1,11,12,0,13.75,74.38,3.47,7.13
2010,1,11,13,0,13.94,74.32,3.36,7.2
2010,1,11,14,0,14.62,74.3,2.99,6.64
2010,1,11,15,0,19.75,74.29,2.09,5.3
2010,1,11,16,0,31.06,74.28,0.96,2.47
2010,1,11,17,0,25.44,74.31,0.76,0.98
2010,1,11,18,0,23.75,74.35,0.66,0.55
2010,1,11,19,0,24.69,74.37,0.91,-0.38
2010,1,11,20,0,27.62,74.38,1.14,-1.56
2010,1,11,21,0,27.88,74.38,1.29,-2.19
2010,1,11,22,0,28.12,74.38,1.37,-2.63
2010,1,11,23,0,28.06,74.36,1.41,-2.95
2010,1,12,0,0,27.94,74.34,1.42,-3.2
2010,1,12,1,0,27.31,74.33,1.43,-3.37
2010,1,12,2,0,26.44,74.32,1.45,-3.6
2010,1,12,3,0,26.19,74.29,1.51,-3.92
2010,1,12,4,0,26.56,74.27,1.57,-4.45
2010,1,12,5,0,27,74.26,1.63,-5.06
2010,1,12,6,0,27.81,74.27,1.66,-5.56
2010,1,12,7,0,31.56,74.3,1.55,-5.17
2010,1,12,8,0,34.81,74.35,1.38,-1.7
2010,1,12,9,0,15.94,74.42,2.2,1.94
2010,1,12,10,0,13.06,74.46,1.53,4.92
2010,1,12,11,0,11.62,74.44,2.12,6.51
2010,1,12,12,0,11.75,74.38,2.22,6.91
