Time,Rain Rate (mm/hr),Attenuation (dB)
8.08194440,0.09972476,0.92713547
8.08222440,0.09949669,0.92455294
8.08250440,0.09940296,0.91399535
8.08278440,0.09936186,0.98824867
8.08306440,0.09904028,0.98063450
8.08334440,0.09899920,0.95625497
8.08362440,0.09888805,1.14041860
8.08390440,0.09885903,0.80583357
8.08418440,0.09895868,1.10389980
8.08446440,0.09897018,1.02839860
8.08474440,0.09892911,1.06043920
8.08502440,0.09905178,0.76436205
8.08530440,0.09942050,0.93395463
8.08558440,0.09940296,0.87678304
8.08586440,0.09929775,0.87022694
8.08614440,0.09941447,0.87473414
8.08642440,0.09953725,0.73102711
8.08670440,0.09923912,0.62464437
8.08698440,0.09931528,0.99843947
8.08726440,0.09892911,0.81276385
8.08754440,0.09902275,0.83872731
8.08782440,0.09901673,0.70539980
8.08810440,0.09899373,0.63883650
8.08838440,0.09899920,1.15816270
8.08866440,0.09905780,0.62682374
8.08894440,0.09942653,1.39108790
8.08922440,0.09931528,1.14754200
8.08950440,0.09952574,0.81006860
8.08978440,0.09945558,1.22198330
8.09006440,0.09935035,0.97688839
8.09034440,0.09928021,1.38274870
8.09062440,0.09947915,1.25379230
8.09090440,0.09979496,0.83975080
8.09118440,0.09958440,0.71653689
8.09146440,0.09981251,0.69719306
8.09174440,0.09984761,0.62925474
8.09202440,0.09972476,0.77937517
8.09230440,0.10023444,0.88630581
8.09258440,0.10042769,1.26978550
8.09286440,0.10015815,1.11140460
8.09314440,0.10049798,0.89287667
8.09342440,0.10011150,0.83486238
8.09370440,0.10031623,1.05436080
8.09398440,0.10011150,0.92970609
8.09426440,0.10019328,0.78913862
8.09454440,0.09989478,1.23613910
8.09482440,0.09999408,1.25444940
8.09510440,0.10006431,1.00721800
8.09538440,0.10036345,1.02878580
8.09566440,0.10031075,0.81366632
8.09594440,0.10179501,0.76783535
8.09622440,0.10177189,1.37558300
8.09650440,0.10185392,0.79427384
8.09678440,0.10210117,1.16567780
8.09706440,0.10194807,1.12862610
8.09734440,0.10204224,1.21043370
8.09762440,0.10185998,0.80839619
8.09790440,0.10193651,0.67837455
8.09818440,0.10181263,0.77617733
8.09846440,0.10166016,0.72999449
8.09874440,0.10168328,1.11140460
8.09902440,0.10164861,0.81366632
8.09930440,0.10209511,0.72025796
8.09958440,0.10300744,1.23106720
8.09986440,0.10363179,1.04467590
8.10014440,0.10491862,0.84514562
8.10042440,0.10500168,0.97199482
8.10070440,0.10722888,1.19356530
8.10098440,0.10898243,0.78708232
8.10126440,0.10988224,0.00000000
8.10154440,0.10976885,1.12408950
8.10182440,0.11104038,1.12953590
8.10210440,0.11520325,1.08461710
8.10238440,0.11581150,0.43490429
8.10266440,0.11575110,0.93215618
8.10294440,0.11872398,0.90124558
8.10322440,0.11955413,1.01663960
8.10350440,0.12047082,1.19927650
8.10378440,0.12008224,0.98450183
8.10406440,0.11928145,1.01741380
8.10434440,0.11880853,1.57244070
8.10462440,0.11781572,1.14352510
8.10490440,0.11705426,0.80891354
8.10518440,0.11683083,0.78373956
8.10546440,0.11637236,1.07233250
8.10574440,0.11686137,0.36082994
8.10602440,0.11865704,1.05850180
8.10630440,0.11835416,1.07116970
8.10658440,0.11756198,0.72012592
8.10686440,0.11726590,1.00644410
8.10714440,0.11954788,0.54280382
8.10742440,0.12048277,0.79556076
8.10770440,0.11978487,0.88836737
8.10798440,0.11878413,0.73320051
8.10826440,0.12132798,0.48645941
8.10854440,0.12681773,1.43987620
8.10882440,0.12948904,0.70501582
8.10910440,0.13044617,0.78131083
8.10938440,0.13141062,0.80839619
8.10966440,0.14340962,1.01315610
8.10994440,0.15038235,0.95857387
8.11022440,0.16209703,1.12150610
8.11050440,0.17708023,0.72884182
8.11078440,0.18693808,1.10713680
8.11106440,0.20497652,1.07453720
8.11134440,0.21680196,0.78887406
8.11162440,0.22555218,0.88707738
8.11190440,0.23903315,1.23613910
8.11218440,0.23506343,0.49767629
8.11246440,0.23857295,0.83884772
8.11274440,0.24751532,1.15647530
8.11302440,0.24451904,0.83049223
8.11330440,0.25239127,0.73550613
8.11358440,0.26173048,0.90201745
8.11386440,0.26328330,0.94826064
8.11414440,0.25853026,1.00128080
8.11442440,0.26054934,1.40204270
8.11470440,0.25944362,0.51079467
8.11498440,0.25647179,1.14455660
8.11526440,0.26012926,1.13976340
8.11554440,0.27607296,0.64881605
8.11582440,0.29401993,0.95057907
8.11610440,0.28958436,1.21640260
8.11638440,0.29178061,1.19473180
8.11666440,0.29514516,1.00360240
8.11694440,0.29401205,1.16062710
8.11722440,0.29075792,1.05333160
8.11750440,0.30030694,1.01070100
8.11778440,0.30706938,0.69310234
8.11806440,0.30136226,1.14274850
8.11834440,0.29637948,1.27393700
8.11862440,0.29878301,0.91824217
8.11890440,0.29992970,1.00541620
8.11918440,0.30197996,0.79234955
8.11946440,0.29544372,1.20213230
8.11974440,0.29185712,0.86482863
8.12002440,0.29494641,1.24211180
8.12030440,0.28857259,0.97482214
8.12058440,0.27777818,1.31946150
8.12086440,0.26949176,0.89686796
8.12114440,0.26198933,0.91695119
8.12142440,0.27010275,0.90690225
8.12170440,0.27199909,1.16567780
8.12198440,0.26273583,1.00282850
8.12226440,0.26430499,0.89995516
8.12254440,0.26224063,0.45704870
8.12282440,0.26422380,1.28589470
8.12310440,0.27356980,1.41912200
8.12338440,0.27593797,0.79042537
8.12366440,0.29045297,0.79710030
8.12394440,0.28908227,0.77758387
8.12422440,0.27996165,0.92893368
8.12450440,0.28283848,1.33755420
8.12478440,0.28947023,1.31919330
8.12506440,0.29394324,0.89339516
8.12534440,0.30750390,0.98798275
8.12562440,0.31089216,0.29841438
8.12590440,0.30486124,1.41703250
8.12618440,0.30212596,0.66225001
8.12646440,0.29641756,0.92391337
8.12674440,0.29061364,1.95913580
8.12702440,0.28965285,1.62577320
8.12730440,0.30308341,0.36564638
8.12758440,0.32457106,0.77887023
8.12786440,0.37049625,2.31388340
8.12814440,0.40887278,1.56942320
8.12842440,0.41201906,0.55402531
8.12870440,0.43451798,1.33429830
8.12898440,0.45308761,0.45527238
8.12926440,0.45969463,0.34483898
8.12954440,0.45805508,2.08981610
8.12982440,0.44385682,2.09804090
8.13010440,0.42242881,0.59143014
8.13038440,0.42687177,0.84656670
8.13066440,0.42422977,0.75705594
8.13094440,0.40452918,1.16114910
8.13122440,0.38544919,1.26470930
8.13150440,0.37780283,0.35955754
8.13178440,0.36759136,1.44965820
8.13206440,0.35135190,0.76526340
8.13234440,0.34251444,1.34926270
8.13262440,0.32929333,2.03402540
8.13290440,0.31430011,0.31806778
8.13318440,0.30256624,1.25743090
8.13346440,0.28908227,2.41307220
8.13374440,0.27606522,0.81418375
8.13402440,0.26812882,0.70129621
8.13430440,0.26515764,0.71935767
8.13458440,0.26176785,1.49041340
8.13486440,0.25754484,0.68733289
8.13514440,0.25482863,1.21134540
8.13542440,0.24676679,1.74210890
8.13570440,0.24416431,1.24133320
8.13598440,0.23777443,1.32999420
8.13626440,0.24427282,1.22548530
8.13654440,0.24811870,0.74512638
8.13682440,0.24462080,0.70283201
8.13710440,0.24149748,1.88345560
8.13738440,0.24027149,1.36645370
8.13766440,0.23319676,0.91399535
8.13794440,0.22473841,0.33697082
8.13822440,0.21640335,1.11361140
